mag,da,alpha,a,R,N0,axf,xc,yc,alphab,Dalpha,Dalphab,MSP,MSN,sar,lsep,fsep,lsize,fsize,am,elon,lead,flux,fluxp,fluxn,fint,lat,AR,spt,day
22.0,0.2368182330472322,-0.05745933393922522,10.47055155504323,70.30565660365066,0.9088892107543088,1.6050121703171897e+22,84.87586804931081,47.291934288780624,-10.212897123498546,-1.8521373665687861,-5.056630393452923,16.82667490563111,18.496665057668306,54.80248441319558,28.57815877331649,26.22432563987909,16.82667490563111,18.496665057668306,11.656803242100526,0.18022057926043178,1,1.668389566682642e+22,1.596730212483852e+22,1.740048920881432e+22,0.6202266537034018,28,8214,1,2.0
23.0,0.2404557816656832,-0.057211766924590735,10.370545770681245,70.30565660365066,0.9088892107543088,1.6050121703171897e+22,85.10401672224093,47.30783462895831,-9.909366984586299,-1.837952821483577,-4.7531002545406755,17.33987247060816,18.419028530435423,55.350816550640516,28.59405001663653,26.75676653400399,17.33987247060816,18.419028530435423,11.50728089306628,0.18671797464377538,1,1.6854656407737945e+22,1.62951925415626e+22,1.7414120273913292e+22,0.6265747132354484,28,8214,1,2.0
24.0,0.24377660294191209,-0.05600600557995245,10.247657772195872,70.30565660365066,0.9088892107543088,1.6050121703171897e+22,85.53956044353615,47.20927098406602,-9.770820473357032,-1.768867785335784,-4.614553743311409,17.428065194943912,18.47831711131678,56.01253876783225,28.674488275664075,27.33805049216818,17.428065194943912,18.47831711131678,11.445493995635292,0.18440743162481618,1,1.7222599161520658e+22,1.6811674522934565e+22,1.7633523800106751e+22,0.6402530475699664,28,8214,1,2.0
25.0,0.2479581126798519,-0.05507596933813549,10.186541896401744,70.30565660365066,0.9088892107543088,1.6050121703171897e+22,85.8618534859482,47.24705212684032,-9.48236638442032,-1.7155806338854636,-4.326099654374697,17.88621224788113,18.84902714973362,55.824020175472306,28.598102586662737,27.225917588809565,17.88621224788113,18.84902714973362,11.34636250691802,0.197615530142852,1,1.7672111591580324e+22,1.7237721407388459e+22,1.8106501775772189e+22,0.6569637484674998,28,8214,1,2.0
26.0,0.251691784618472,-0.05462494795901318,10.116028454912495,70.30565660365066,0.9088892107543088,1.6050121703171897e+22,86.37218233841173,47.26897390046535,-9.32749673687716,-1.6897390123915854,-4.171230006831537,18.306159590197367,19.142817005241387,56.04558270679752,28.526038308888168,27.519544397909346,18.306159590197367,19.142817005241387,11.324362877072783,0.20261937358575627,1,1.822928591391166e+22,1.7901915505973713e+22,1.8556656321849605e+22,0.6776767984871155,28,8214,1,2.0
27.0,0.2542141945858705,-0.05372948759303911,10.051439184237672,70.30565660365066,0.9088892107543088,1.6050121703171897e+22,86.74760366087656,47.30083412598029,-9.248758018415957,-1.6384329127000312,-4.092491288370334,18.845318033947446,19.25244247297466,55.69418674059128,28.014710999582057,27.67947574100922,18.845318033947446,19.25244247297466,11.303832447602028,0.20912743420282087,1,1.8718949318069712e+22,1.8606275946177536e+22,1.8831622689961888e+22,0.6958801186628605,28,8214,1,2.0
28.0,0.26049025469264087,-0.051754283711159296,10.04148090217573,70.30565660365066,0.9088892107543088,1.6050121703171897e+22,86.8902535941424,47.29774637113326,-9.066811616759649,-1.525262066590461,-3.9105448867140256,19.143513523941152,19.408635480086648,56.04263961780423,28.237154620317988,27.80548499748624,19.143513523941152,19.408635480086648,11.277999044911574,0.21396582309962398,1,1.912681937510545e+22,1.89794946423318e+22,1.92741441078791e+22,0.7110427572739428,28,8214,1,2.0
29.0,0.263376861702406,-0.05258549540830175,9.970135846594673,70.30565660365066,0.9088892107543088,1.6050121703171897e+22,87.5701436799993,47.41199320609472,-8.87834585009815,-1.5728869887186299,-3.722079120052526,19.816095246230574,20.063377700414225,55.73430019481937,27.89478263050739,27.839517564311976,19.816095246230574,20.063377700414225,11.253934726590337,0.22702661735366264,1,1.979019577891606e+22,1.977057219925472e+22,1.98098193585774e+22,0.7357038877016132,28,8214,1,2.0
30.0,0.26978309042820736,-0.04919437248267451,9.960577652486133,70.30565660365066,0.9088892107543088,1.6050121703171897e+22,87.68734532774836,47.31184983016032,-8.687530975160794,-1.3785899572701332,-3.53126424511517,19.692140506571995,19.84145720354109,56.77352895741459,28.393239710959154,28.380289246455437,19.692140506571995,19.84145720354109,11.172408334469889,0.22732057821547397,1,1.9856931047132856e+22,1.9852401533371766e+22,1.986146056089395e+22,0.7381847826266758,28,8214,1,3.0
31.0,0.2750722595342402,-0.047278277551074895,9.9538556241655,70.30565660365066,0.9088892107543088,1.6050121703171897e+22,88.02577391468795,47.26208514374913,-8.505533064762576,-1.2688058045430668,-3.349266334716952,19.86493056907621,19.913198218665812,57.222365394475126,28.541069285969726,28.6812961085054,19.86493056907621,19.913198218665812,11.053246480356453,0.2310575203476693,1,2.007538477236913e+22,2.0124580701240717e+22,2.002618884349755e+22,0.7463058369474447,28,8214,1,3.0
32.0,0.28190049351545715,-0.04421304832976258,9.986530332960182,70.30565660365066,0.9088892107543088,1.6050121703171897e+22,88.23542573326718,47.21262516562663,-8.279110938743303,-1.0931811069216997,-3.1228442086976793,20.5949228465236,19.87155973449671,57.5877845495318,28.46669632699614,29.121088222535658,20.5949228465236,19.87155973449671,10.99431108834563,0.23493560787972106,1,2.0451326785382624e+22,2.0683722988953778e+22,2.0218930581811474e+22,0.7602815451018359,28,8214,1,3.0
33.0,0.28920741774200553,-0.04315789319674396,10.036988980917638,70.30565660365066,0.9088892107543088,1.6050121703171897e+22,88.31090577733193,47.13972417099065,-8.102943713397888,-1.0327251710681675,-2.9466769833522646,20.923242364823388,19.91181250323693,58.17986808382124,28.84387879783629,29.335989285984954,20.923242364823388,19.91181250323693,11.014971704574448,0.23447698826248164,1,2.066290329950075e+22,2.0837679072705253e+22,2.0488127526296244e+22,0.7681469379317993,28,8214,1,3.0
34.0,0.2952444616046891,-0.04315330679066576,10.031639572692567,70.30565660365066,0.9088892107543088,1.6050121703171897e+22,89.08194480534574,47.142283622133824,-8.170021219754554,-1.0324623893567533,-3.013754489708931,20.990833663132914,20.436886232069927,58.73570653002786,28.91250681707909,29.823199712948764,20.990833663132914,20.436886232069927,10.942410350481715,0.24141770407105312,1,2.081569194142624e+22,2.1138437744509023e+22,2.049294613834346e+22,0.7738268816330632,28,8214,1,3.0
35.0,0.30007929289871355,-0.04157307579170969,10.115712147066072,70.30565660365066,0.9088892107543088,1.6050121703171897e+22,89.69176492577752,47.13313317714852,-8.135697300428479,-0.9419218224608288,-2.9794305703828554,21.45946615046173,20.951697481318806,58.76363152268091,28.86817841112984,29.89545311155107,21.45946615046173,20.951697481318806,10.88654834056217,0.2500290142936323,1,2.121599796419421e+22,2.158688481015766e+22,2.0845111118230763e+22,0.7887083259861568,28,8214,1,3.0
36.0,0.3047283569193804,-0.040622335971099745,10.142343717718964,70.30565660365066,0.9088892107543088,1.6050121703171897e+22,90.47641923205003,47.16986148026515,-8.245920948978956,-0.887448443324854,-3.0896542189333323,21.91091321754567,21.716046586801173,58.54491724746544,28.477434611656943,30.0674826358085,21.91091321754567,21.716046586801173,10.871679605306102,0.265563566615717,1,2.150330194165065e+22,2.2087319895259356e+22,2.091928398804195e+22,0.799388900121357,28,8214,1,3.0
37.0,0.31032077033881045,-0.03787629519068029,10.229949002702154,70.30565660365066,0.9088892107543088,1.6050121703171897e+22,90.90527568619252,47.16686143168458,-7.999547132248853,-0.7301118962360081,-2.84328040220323,21.980587360159795,21.584784644079065,59.41883130171758,28.72772369527675,30.691107606440834,21.980587360159795,21.584784644079065,10.714611618910357,0.2617812010563034,1,2.1634271643302e+22,2.2349135600462735e+22,2.091940768614126e+22,0.8042577210139058,28,8214,1,3.0
